Matriz,Build,Threads,Static_Time,Static_GBps,Guided_Time,Guided_GBps,Balanced_Time,Balanced_GBps,Checksum_OK
bcsstk14.mtx,build_spmv_parallel,1,4.83242e-05,16.5046,4.56449e-05,17.4734,2.93222e-05,27.2003,YES
bcsstk14.mtx,build_spmv_parallel,2,2.71333e-05,29.3946,1.58779e-05,50.2316,1.66289e-05,47.9629,YES
bcsstk14.mtx,build_spmv_parallel,4,1.86957e-05,42.6607,1.51958e-05,52.4863,1.68614e-05,47.3017,YES
bcsstk14.mtx,build_spmv_parallel,8,1.34728e-05,59.1986,1.35193e-05,58.9952,2.31866e-05,34.398,YES
bcsstk14.mtx,build_spmv_parallel,12,3.31434e-05,24.0643,1.34911e-05,59.1184,1.39385e-05,57.221,YES
bcsstk14.mtx,build_spmv_parallel,16,3.71325e-05,21.4791,4.37478e-05,18.2311,4.19907e-05,18.994,YES
bcsstk14.mtx,build_spmv_parallel,20,5.60684e-05,14.225,7.92679e-05,10.0617,2.15276e-05,37.0488,YES
bcsstk14.mtx,build_spmv_parallel,24,8.58562e-05,9.28962,9.78862e-05,8.14795,4.49282e-05,17.7522,YES
bcsstk18.mtx,build_spmv_parallel,1,0.000103101,19.6704,0.000100965,20.0865,0.00010103,20.0737,YES
bcsstk18.mtx,build_spmv_parallel,2,8.59429e-05,23.5976,4.96726e-05,40.8283,5.40982e-05,37.4882,YES
bcsstk18.mtx,build_spmv_parallel,4,5.07664e-05,39.9485,2.93824e-05,69.0224,2.69274e-05,75.3152,YES
bcsstk18.mtx,build_spmv_parallel,8,2.99536e-05,67.7063,2.46507e-05,82.2711,2.85119e-05,71.1296,YES
bcsstk18.mtx,build_spmv_parallel,12,3.01028e-05,67.3707,2.45551e-05,82.5915,3.1619e-05,64.14,YES
bcsstk18.mtx,build_spmv_parallel,16,3.39156e-05,59.7968,4.1916e-05,48.3835,3.4522e-05,58.7464,YES
bcsstk18.mtx,build_spmv_parallel,20,6.99265e-05,29.0025,7.6176e-05,26.6231,8.67238e-05,23.3851,YES
bcsstk18.mtx,build_spmv_parallel,24,3.92744e-05,51.6378,7.56405e-05,26.8116,7.14721e-05,28.3753,YES
