Matriz,Build,Threads,Static_Time,Static_GBps,Guided_Time,Guided_GBps,Balanced_Time,Balanced_GBps,Checksum_OK
bcsstk14.mtx,build_spmv_parallel,1,4.74701e-05,16.8016,7.35619e-05,10.8422,3.46487e-05,23.0188,YES
bcsstk14.mtx,build_spmv_parallel,2,3.27935e-05,24.3211,4.53863e-05,17.573,3.65493e-05,21.8218,YES
bcsstk14.mtx,build_spmv_parallel,4,2.2824e-05,34.9445,2.18794e-05,36.453,2.55794e-05,31.1802,YES
bcsstk14.mtx,build_spmv_parallel,8,2.12712e-05,37.4954,1.78823e-05,44.6011,1.95107e-05,40.8788,YES
bcsstk14.mtx,build_spmv_parallel,12,1.94571e-05,40.9913,1.70851e-05,46.6824,1.90369e-05,41.8962,YES
bcsstk14.mtx,build_spmv_parallel,16,3.05303e-05,26.1239,1.85826e-05,42.9204,4.32787e-05,18.4287,YES
bcsstk14.mtx,build_spmv_parallel,20,5.62978e-05,14.167,5.68653e-05,14.0256,5.50204e-05,14.4959,YES
bcsstk14.mtx,build_spmv_parallel,24,6.86768e-05,11.6134,6.31423e-05,12.6313,5.89802e-05,13.5227,YES
bcsstk18.mtx,build_spmv_parallel,1,0.000122022,16.6204,0.000116714,17.3762,0.00011288,17.9664,YES
bcsstk18.mtx,build_spmv_parallel,2,6.17137e-05,32.8621,5.68483e-05,35.6747,6.01669e-05,33.707,YES
bcsstk18.mtx,build_spmv_parallel,4,4.10485e-05,49.4061,3.58754e-05,56.5302,4.15892e-05,48.7637,YES
bcsstk18.mtx,build_spmv_parallel,8,2.57505e-05,78.7575,3.03445e-05,66.834,2.85875e-05,70.9417,YES
bcsstk18.mtx,build_spmv_parallel,12,2.17943e-05,93.0538,2.05857e-05,98.517,2.46239e-05,82.3608,YES
bcsstk18.mtx,build_spmv_parallel,16,2.24656e-05,90.2731,2.39901e-05,84.5366,3.33198e-05,60.8661,YES
bcsstk18.mtx,build_spmv_parallel,20,3.13393e-05,64.7125,3.54187e-05,57.2592,3.65602e-05,55.4714,YES
bcsstk18.mtx,build_spmv_parallel,24,3.12243e-05,64.9507,3.88328e-05,52.225,3.77335e-05,53.7465,YES
G3_circuit.mtx,build_spmv_parallel,1,0.00536877,23.0294,0.00535125,23.1048,0.00529715,23.3408,YES
G3_circuit.mtx,build_spmv_parallel,2,0.00376803,32.8128,0.0030937,39.9649,0.00360597,34.2874,YES
G3_circuit.mtx,build_spmv_parallel,4,0.00260533,47.4564,0.00249692,49.5169,0.002725,45.3723,YES
G3_circuit.mtx,build_spmv_parallel,8,0.00231919,53.3115,0.00215219,57.4482,0.00232157,53.2569,YES
G3_circuit.mtx,build_spmv_parallel,12,0.00307114,40.2585,0.00238945,51.7439,0.00298122,41.4728,YES
G3_circuit.mtx,build_spmv_parallel,16,0.00288296,42.8863,0.00239202,51.6883,0.00257886,47.9435,YES
G3_circuit.mtx,build_spmv_parallel,20,0.00270652,45.6822,0.00241073,51.2871,0.00277859,44.4973,YES
G3_circuit.mtx,build_spmv_parallel,24,0.00268173,46.1044,0.00240737,51.3587,0.00274539,45.0353,YES
bcsstk14.mtx,build-noopt_spmv_parallel,1,0.000200586,3.9762,0.000200154,3.98478,0.000200508,3.97776,YES
bcsstk14.mtx,build-noopt_spmv_parallel,2,0.000112853,7.06736,0.000102904,7.75062,0.000107471,7.42128,YES
bcsstk14.mtx,build-noopt_spmv_parallel,4,9.35796e-05,8.52292,6.98976e-05,11.4106,7.52145e-05,10.604,YES
bcsstk14.mtx,build-noopt_spmv_parallel,8,5.24072e-05,15.2188,3.84306e-05,20.7536,5.62141e-05,14.1881,YES
bcsstk14.mtx,build-noopt_spmv_parallel,12,3.86371e-05,20.6427,3.99907e-05,19.9439,5.74091e-05,13.8928,YES
bcsstk14.mtx,build-noopt_spmv_parallel,16,4.1901e-05,19.0347,4.15164e-05,19.211,6.25577e-05,12.7494,YES
bcsstk14.mtx,build-noopt_spmv_parallel,20,5.85158e-05,13.63,4.83401e-05,16.4992,5.17339e-05,15.4168,YES
bcsstk14.mtx,build-noopt_spmv_parallel,24,4.94128e-05,16.141,4.84949e-05,16.4465,4.57792e-05,17.4222,YES
bcsstk18.mtx,build-noopt_spmv_parallel,1,0.000568345,3.56833,0.000571758,3.54703,0.000563693,3.59778,YES
bcsstk18.mtx,build-noopt_spmv_parallel,2,0.000311818,6.50392,0.000291188,6.96472,0.00029843,6.79571,YES
bcsstk18.mtx,build-noopt_spmv_parallel,4,0.000160313,12.6505,0.000143846,14.0987,0.00015839,12.8041,YES
bcsstk18.mtx,build-noopt_spmv_parallel,8,0.00013435,15.0952,8.54825e-05,23.7247,0.000106419,19.0571,YES
bcsstk18.mtx,build-noopt_spmv_parallel,12,9.33231e-05,21.7314,6.41139e-05,31.6319,8.43922e-05,24.0312,YES
bcsstk18.mtx,build-noopt_spmv_parallel,16,8.45968e-05,23.9731,7.02295e-05,28.8774,9.05351e-05,22.4006,YES
bcsstk18.mtx,build-noopt_spmv_parallel,20,8.87354e-05,22.855,6.26234e-05,32.3848,6.68478e-05,30.3382,YES
bcsstk18.mtx,build-noopt_spmv_parallel,24,5.79552e-05,34.9933,5.72871e-05,35.4014,5.62035e-05,36.0839,YES
