Matriz,Build,Rows,Cols,NNZ,AvgTimeSec,Bandwidth_GBps,GFLOPs,ArithIntensity
bcsstk14.mtx,build_spmv,1806,1806,63454,3.44972e-05,23.1199,3.67879,0.159118
bcsstk18.mtx,build_spmv,11948,11948,149090,0.000109544,18.5135,2.72201,0.147028
G3_circuit.mtx,build_spmv,1585478,1585478,7660826,0.00529757,23.3389,2.89221,0.123922
bcsstk14.mtx,build-noopt_spmv,1806,1806,63454,0.000208038,3.83378,0.610024,0.159118
bcsstk18.mtx,build-noopt_spmv,11948,11948,149090,0.000563869,3.59666,0.52881,0.147028
G3_circuit.mtx,build-noopt_spmv,1585478,1585478,7660826,0.037819,3.26925,0.405132,0.123922
bcsstk14.mtx,build_spmv,1806,1806,63454,3.16462e-05,25.2028,4.01021,0.159118
bcsstk18.mtx,build_spmv,11948,11948,149090,0.000109894,18.4546,2.71335,0.147028
G3_circuit.mtx,build_spmv,1585478,1585478,7660826,0.00526744,23.4724,2.90875,0.123922
bcsstk14.mtx,build-noopt_spmv,1806,1806,63454,0.000203281,3.9235,0.624299,0.159118
bcsstk18.mtx,build-noopt_spmv,11948,11948,149090,0.000466667,4.34581,0.638957,0.147028
G3_circuit.mtx,build-noopt_spmv,1585478,1585478,7660826,0.030953,3.99443,0.494997,0.123922
